1	1:36.529229578	2:16.7858944621
1	1:40.7946186605	2:18.6043722338
1	1:38.1697638405	2:17.4832333207
1	1:36.6385985288	2:16.8689979571
1	1:36.3104916763	2:16.7389182395
1	1:37.841656988	2:17.3259601261
2	1:50.9659310879	2:27.2872833209
1	1:37.841656988	2:17.199803618
1	1:37.6229190863	2:17.077850508
2	1:36.3104916763	2:16.7389182395
1	1:36.3104916763	2:16.7389182395
1	1:36.529229578	2:16.8600955291
2	1:35.9823848238	2:16.6969938807
1	1:36.8573364305	2:17.0132543532
1	1:49.4347657762	2:21.9659384885
1	1:52.168989547	2:26.374502168
1	1:37.841656988	2:17.5622842422
2	1:0.0	2:0.0
2	1:35.7636469222	2:16.6655064913
2	1:38.7166085947	2:17.0384285329
2	1:35.6542779714	2:16.4281267457
2	1:36.8573364305	2:16.9456225984
2	1:35.6542779714	2:16.6527471501
2	1:35.1074332172	2:16.1291384171
2	1:28.5452961672	2:11.7165538197
1	1:36.3104916763	2:16.7389182395
1	1:52.825203252	2:26.7381430915
1	1:36.3104916763	2:16.7389182395
1	1:38.0603948897	2:17.2261217085
1	1:36.9667053813	2:16.867230077
1	1:36.9667053813	2:17.0294228247
2	1:36.3104916763	2:16.7389182395
2	1:36.9667053813	2:17.153886699
2	1:36.529229578	2:16.8863101827
2	1:34.3418505614	2:15.9561757298
2	1:36.3104916763	2:16.7389182395
2	1:36.3104916763	2:16.7389182395
2	1:35.873015873	2:16.6495346027
2	1:36.3104916763	2:16.7389182395
2	1:34.6699574139	2:15.871745841
2	1:37.841656988	2:17.4338497579
2	1:35.7636469222	2:16.6348081266
2	1:35.7636469222	2:16.5926535832
2	1:36.0917537747	2:16.6742890605
2	1:36.9667053813	2:17.1370931321
2	1:26.0298102981	2:10.356970493
2	1:35.5449090205	2:16.5546102054
2	1:36.0917537747	2:16.6467038626
2	1:35.216802168	2:16.3043121918
2	1:36.7479674797	2:16.7930201982
2	1:35.1074332172	2:16.1705081664
2	1:36.0917537747	2:16.6238902395
1	1:37.4041811847	2:17.1788498743
1	1:36.7479674797	2:17.0471265521
1	1:50.0909794812	2:24.3808213716
1	1:40.0290360046	2:18.4646805328
1	1:40.6852497096	2:20.0075937949
1	1:37.841656988	2:17.7054464296
1	1:52.0596205962	2:19.6713867262
1	1:43.6382113821	2:21.4495930818
1	1:47.1380178087	2:19.9084566798
1	1:37.6229190863	2:17.6486766559
1	1:45.0600077429	2:18.857300626
1	1:36.6385985288	2:16.8634088002
1	1:40.6852497096	2:19.1074593525
1	1:36.3104916763	2:16.7389182395
1	1:36.9667053813	2:16.8246261359
1	1:36.3104916763	2:16.7389182395
1	1:37.2948122338	2:17.1909772015
1	1:36.529229578	2:16.8868380499
1	1:42.7632597755	2:20.7827499943
2	1:44.2944250871	2:21.5103955057
2	1:36.7479674797	2:16.9395259854
1	1:37.0760743322	2:17.0178818503
2	1:36.9667053813	2:17.17696066
2	1:35.873015873	2:16.5322286476
2	1:36.0917537747	2:16.6655496423
2	1:34.9980642664	2:16.571342769
1	1:36.529229578	2:16.8880735245
1	1:50.2003484321	2:24.0950988099
2	1:36.3104916763	2:16.7389182395
2	1:36.4198606272	2:16.7822490243
2	1:1130.0	2:600.0
2	1:35.6542779714	2:16.4415537055
2	1:36.3104916763	2:16.7389182395
2	1:36.4198606272	2:16.7810513218
2	1:37.2948122338	2:16.9990233765
2	1:36.6385985288	2:16.8521678172
2	1:36.7479674797	2:17.05847583
1	1:43.9663182346	2:18.0857768701
1	1:41.6695702671	2:20.8533301655
1	1:39.810298103	2:17.4573769426
1	1:36.3104916763	2:16.7389182395
1	1:36.4198606272	2:16.7806000871
1	1:39.9196670538	2:17.0778882171
1	1:39.9196670538	2:18.4497065877
1	1:36.7479674797	2:16.9085902579
1	1:36.3104916763	2:16.7389182395
1	1:36.7479674797	2:16.9913603732
1	1:36.9667053813	2:17.2218471609
1	1:73.9334107627	2:38.9186366196
1	1:40.6852497096	2:18.5583621562
1	1:68.6837011227	2:32.3195053501
1	1:37.5135501355	2:17.1852344279
